id,parent_id,slug,name,sort_order
329,327,world-of-rl/womens-brands/polo-ralph-lauren,Polo Ralph Lauren,3
330,327,world-of-rl/womens-brands/rlx,RLX,4
331,327,world-of-rl/womens-brands/double-rl,Double RL,5
332,327,world-of-rl/womens-brands/lauren,Lauren,6
333,327,world-of-rl/womens-brands/golf,Golf,7
334,327,world-of-rl/womens-brands/fragrance,Fragrance,8
335,327,world-of-rl/womens-brands/watches,Watches,9
336,294,world-of-rl/home-brands,Home Brands,6
337,336,world-of-rl/home-brands/ralph-lauren-home,Ralph Lauren Home,2
338,336,world-of-rl/home-brands/lauren-home,Lauren Home,3
339,336,world-of-rl/home-brands/polo-ralph-lauren-home,Polo Ralph Lauren Home,4
340,336,world-of-rl/home-brands/double-rl,Double RL,5
341,336,world-of-rl/home-brands/ralphs-coffee,Ralph's Coffee,6
342,294,world-of-rl/our-stores,Our Stores,7
343,342,world-of-rl/our-stores/flagship-stores,Flagship Stores,2
344,342,world-of-rl/our-stores/find-a-store,Find a Store,3
345,342,world-of-rl/our-stores/rl-virtual-experience,RL Virtual Experience,4
346,342,world-of-rl/our-stores/store-services,Store Services,5
347,342,world-of-rl/our-stores/book-an-appointment,Book an Appointment,6
348,342,world-of-rl/our-stores/made-to-measure,Made to Measure,7
349,342,world-of-rl/our-stores/building-a-flagship,Building a Flagship,8
350,294,world-of-rl/restaurants,Restaurants,8
351,350,world-of-rl/restaurants/new-york-city,New York City,2
352,350,world-of-rl/restaurants/chicago,Chicago,3
353,350,world-of-rl/restaurants/milan,Milan,4
354,350,world-of-rl/restaurants/paris,Paris,5
355,350,world-of-rl/restaurants/ralphs-coffee-shop,Ralph's Coffee Shop,6
356,1,sale,Sale,7
357,356,sale/men,Men,1
358,357,sale/men/all-mens-sale,All Men's Sale,2
359,357,sale/men/new-to-sale,New to Sale,3
360,357,sale/men/clothing,Clothing,4
361,357,sale/men/shoes,Shoes,5
362,357,sale/men/accessories,Accessories,6
363,357,sale/men/purple-label-enjoy-up-to-40-off,Purple Label: Enjoy Up to 40% Off,7
364,357,sale/men/double-rl-enjoy-up-to-40-off,Double RL: Enjoy Up to 40% Off,8
365,356,sale/women,Women,2
366,365,sale/women/all-womens-sale,All Women's Sale,2
367,365,sale/women/new-to-sale,New to Sale,3
368,365,sale/women/clothing,Clothing,4
369,365,sale/women/shoes,Shoes,5
370,365,sale/women/accessories,Accessories,6
371,365,sale/women/collection-enjoy-up-to-40-off,Collection: Enjoy Up to 40% Off,7
372,365,sale/women/double-rl-enjoy-up-to-40-off,Double RL: Enjoy Up to 40% Off,8
373,356,sale/kids-and-baby,Kids & Baby,3
374,373,sale/kids-and-baby/all-kids-sale,All Kids' Sale,2
375,373,sale/kids-and-baby/new-to-sale,New to Sale,3
376,373,sale/kids-and-baby/boys-sizes-2t-7,Boys (Sizes 2T-7),4
377,373,sale/kids-and-baby/boys-sizes-8-20,Boys (Sizes 8-20),5
378,373,sale/kids-and-baby/girls-sizes-2t-6x,Girls (Sizes 2T-6X),6
379,373,sale/kids-and-baby/girls-sizes-7-16,Girls (Sizes 7-16),7
380,373,sale/kids-and-baby/baby-boy-sizes-0-24m,Baby Boy (Sizes 0–24M),8
381,373,sale/kids-and-baby/baby-girl-sizes-0-24m,Baby Girl (Sizes 0–24M),9
382,356,sale/home,Home,4
383,382,sale/home/all-home-sale,All Home Sale,2
384,382,sale/home/bedding,Bedding,3
385,382,sale/home/towels-and-robes,Towels & Robes,4
386,382,sale/home/decor,Décor,5
387,382,sale/home/dining,Dining,6
388,382,sale/home/rl-home-enjoy-up-to-40-off,RL Home: Enjoy Up to 40% Off,7
